Observatório do Plano Nacional de Educação

Porcentagem de jovens de 15 a 17 anos na escola - Taxa de atendimento;
Total;
Localidade;Código IBGE;2001 (%);2001 (absoluto);2002 (%);2002 (absoluto);2003 (%);2003 (absoluto);2004 (%);2004 (absoluto);2005 (%);2005 (absoluto);2006 (%);2006 (absoluto);2007 (%);2007 (absoluto);2008 (%);2008 (absoluto);2009 (%);2009 (absoluto);2011 (%);2011 (absoluto);2012 (%);2012 (absoluto);2013 (%);2013 (absoluto);2014 (%);2014 (absoluto);2015 (%);2015 (absoluto);
Brasil;0;77,7;7820469,0;78,2;7939591,0;79,4;8185277,0;79,0;8204653,0;78,8;8160811,0;79,0;7985691,0;79,5;7680690,0;81,4;7990297,0;82,4;8059792,0;82,3;8115542,0;82,6;8105071,0;83,3;8338198,0;82,6;8162234,0;84,3;8289598,0;
Norte;1;76,9;520648,0;79,1;537794,0;78,9;548871,0;75,8;713372,0;73,7;669939,0;74,8;699628,0;76,5;721897,0;79,1;759915,0;80,9;750159,0;81,5;840100,0;82,3;808356,0;82,4;839063,0;80,9;794394,0;83,5;860789,0;
Nordeste;2;75,3;2470510,0;76,4;2594127,0;76,5;2581409,0;75,7;2516655,0;75,7;2488003,0;76,0;2397622,0;77,2;2338164,0;79,0;2370582,0;81,0;2497095,0;81,4;2526171,0;81,3;2509604,0;82,1;2541922,0;81,4;2468777,0;82,0;2483348,0;
Sudeste;3;80,7;3256401,0;80,5;3197443,0;82,3;3390566,0;83,1;3334682,0;82,6;3372732,0;82,7;3251624,0;83,1;3010437,0;84,1;3214201,0;85,1;3113406,0;83,5;3059608,0;84,9;3113842,0;85,3;3245210,0;85,4;3273756,0;86,8;3259540,0;
Sul;4;75,2;1036858,0;75,5;1042836,0;78,2;1077663,0;78,1;1050074,0;78,2;1050563,0;77,3;1049295,0;77,6;1038230,0;80,0;1054909,0;80,1;1093295,0;80,8;1094264,0;78,7;1053496,0;81,6;1088709,0;79,9;1057440,0;83,6;1085482,0;
Centro-Oeste;5;76,8;536052,0;77,8;567391,0;79,2;586768,0;78,0;589870,0;78,5;579574,0;79,8;587522,0;78,6;571962,0;81,9;590690,0;81,6;605837,0;84,1;595399,0;83,8;619773,0;82,4;623294,0;80,6;567867,0;83,0;600439,0;
Rondônia;11;72,3;46534,0;73,7;47116,0;71,8;47974,0;72,2;69590,0;71,5;63189,0;70,4;69087,0;72,2;65395,0;73,5;65087,0;79,8;76635,0;77,5;80714,0;78,3;75499,0;81,0;76908,0;75,6;61718,0;77,1;75661,0;
Acre;12;72,3;19359,0;77,5;23507,0;78,3;22711,0;74,4;30361,0;75,7;28652,0;73,1;33590,0;74,7;33417,0;72,3;31085,0;74,8;29511,0;77,3;37936,0;78,6;39218,0;79,9;39538,0;74,5;35782,0;83,4;45728,0;
Amazonas;13;81,6;132797,0;83,9;131072,0;83,8;135482,0;81,8;157538,0;78,9;141948,0;81,4;161676,0;83,7;172231,0;82,2;182206,0;82,2;170242,0;84,1;186487,0;84,6;177589,0;80,4;196685,0;79,8;187139,0;84,0;185520,0;
Roraima;14;88,3;15908,0;81,2;12792,0;86,1;17741,0;79,9;22773,0;74,2;20190,0;83,5;19830,0;87,5;23089,0;80,4;20689,0;87,9;22253,0;83,9;22551,0;83,1;26585,0;84,8;22717,0;77,7;23193,0;86,4;30162,0;
Pará;15;73,9;223701,0;76,5;223203,0;76,0;226966,0;73,2;338613,0;70,1;314204,0;70,3;307663,0;72,3;329611,0;77,8;361025,0;79,2;351137,0;81,1;396339,0;82,0;376665,0;83,3;381124,0;82,7;386382,0;84,2;418911,0;
Amapá;16;84,8;14020,0;82,6;29737,0;88,6;29985,0;80,6;30862,0;84,7;33990,0;85,1;38260,0;83,4;32217,0;88,5;31840,0;86,3;33011,0;83,4;39521,0;82,5;46526,0;82,8;41952,0;83,6;36911,0;80,0;33628,0;
Tocantins;17;79,8;68329,0;82,2;70367,0;79,7;68012,0;77,2;63635,0;78,3;67766,0;80,3;69522,0;80,9;65937,0;83,0;67983,0;86,2;67370,0;82,0;76552,0;84,9;66274,0;85,1;80139,0;82,9;63269,0;86,2;71179,0;
Maranhão;21;74,3;325208,0;73,2;325385,0;74,4;333818,0;76,0;354680,0;75,8;328138,0;76,8;359787,0;76,3;319557,0;76,5;306917,0;83,7;324478,0;80,3;328713,0;80,4;311459,0;85,5;366862,0;83,8;351883,0;82,5;344228,0;
Piauí;22;76,5;150964,0;74,6;165184,0;83,7;166702,0;76,0;144474,0;78,0;156338,0;78,7;156957,0;78,5;154904,0;80,5;133696,0;79,9;145126,0;82,9;153269,0;81,9;162060,0;84,0;161846,0;83,0;160883,0;83,1;155344,0;
Ceará;23;77,0;370754,0;77,4;381311,0;75,6;393336,0;76,1;407203,0;76,9;388603,0;77,9;380008,0;75,9;355841,0;78,9;387893,0;80,9;410458,0;84,0;427717,0;84,6;443933,0;83,0;413914,0;83,1;399115,0;82,3;364236,0;
Rio Grande do Norte;24;77,4;144489,0;76,5;137781,0;75,1;151454,0;76,8;148903,0;75,1;134755,0;75,2;135184,0;79,9;136251,0;79,2;125403,0;78,3;140875,0;81,8;161760,0;80,1;136689,0;79,5;137470,0;80,8;130893,0;81,9;137753,0;
Paraíba;25;74,4;173048,0;77,8;183656,0;76,8;178391,0;75,8;178031,0;73,9;182156,0;75,4;164052,0;74,3;165761,0;77,4;165769,0;80,4;174686,0;81,6;179066,0;80,2;173627,0;77,1;166567,0;74,1;140764,0;80,3;152551,0;
Pernambuco;26;70,5;385079,0;73,2;389662,0;73,6;390730,0;73,3;373408,0;73,8;388011,0;75,1;365959,0;75,4;372286,0;77,1;369571,0;79,3;390858,0;79,2;379115,0;78,2;358051,0;82,7;390143,0;79,3;372992,0;80,9;393910,0;
Alagoas;27;73,7;135813,0;74,2;146403,0;74,9;142208,0;73,8;131042,0;72,4;147266,0;71,0;136582,0;75,7;141234,0;75,6;130738,0;77,0;163495,0;74,7;153050,0;76,8;160111,0;77,7;145287,0;76,2;156766,0;83,0;159825,0;
Sergipe;28;72,8;84925,0;78,1;99758,0;79,2;102226,0;78,5;96933,0;73,8;92388,0;78,4;88981,0;78,0;85592,0;83,9;97404,0;82,1;97937,0;81,9;89928,0;83,2;104689,0;84,2;97983,0;78,5;96143,0;80,7;104477,0;
Bahia;29;77,9;700230,0;79,5;764987,0;78,5;722544,0;76,2;681981,0;77,2;670348,0;75,6;610112,0;79,8;606738,0;81,7;653191,0;82,6;649182,0;82,6;653553,0;82,6;658985,0;81,5;661850,0;83,6;659338,0;82,6;671024,0;
Minas Gerais;31;74,9;800288,0;75,1;802844,0;75,8;830626,0;77,7;831183,0;77,6;855333,0;77,2;840495,0;79,0;759013,0;81,9;847245,0;80,7;792530,0;78,9;780969,0;83,0;819666,0;83,2;850702,0;83,4;833903,0;84,9;843869,0;
